(0,13) (73,13) (73,27) (0,27) | Oupice + WTIm | 0,1168
(320,16) (344,16) (344,24) (320,24) | Vo.a | 0,0105
(0,27) (35,27) (35,41) (0,41) | Oil price | 0,9324
(42,30) (66,30) (66,38) (42,38) | Brent | 0,1348
(270,30) (292,30) (292,38) (270,38) | 37 16 | 0,0652
(318,30) (342,30) (342,38) (318,38) | ot | 0,0049
(363,27) (391,27) (391,41) (363,41) | 108.75 | 0,3120
(0,46) (68,46) (68,54) (0,54) | VM pAS LL | 0,0292
(76,46) (100,46) (100,54) (76,54) | Hcmr | 0,2846
(99,43) (123,43) (123,56) (99,56) | 'Hub | 0,2735
