(38,2) (76,2) (76,8) (38,8) | Memun | 0.0137
(0,15) (57,15) (57,27) (0,27) | United States: | 0.9089
(319,27) (345,27) (345,39) (319,39) | 1,80+ | 0.9034
(369,27) (393,27) (393,39) (369,39) | 1,705 | 0.8208
(16,42) (144,42) (144,50) (16,50) | Ofchorc inck Gulf ofMcricat | 0.0855
(320,58) (342,58) (342,66) (320,66) | 156] | 0.3623
(0,72) (32,72) (32,80) (0,80) | Lanada | 0.2188
(18,98) (52,98) (52,106) (18,106) | OfchOC | 0.2323
(0,128) (48,128) (48,136) (0,136) | MmicmamoIA | 0.0456
(56,128) (134,128) (134,136) (56,136) | ciclamg Canadi|= | 0.1055
(319,139) (345,139) (345,151) (319,151) | LOH | 0.1250
(18,154) (52,154) (52,162) (18,162) | OfchOC | 0.2323
(0,184) (64,184) (64,192) (0,192) | Worluwnc tclal | 0.1806
(4,198) (40,198) (40,206) (4,206) | Ad [OLL | 0.2729
(270,198) (292,198) (292,204) (270,204) | DM | 0.1293
(0,212) (56,212) (56,220) (0,220) | Ullehorc toLI | 0.2220
(28,238) (82,238) (82,246) (28,246) | NanraGs | 0.0074
(260,238) (282,238) (282,246) (260,246) | 2mMS | 0.0454
(310,238) (332,238) (332,246) (310,246) | Zmt | 0.0449
(360,238) (382,238) (382,246) (360,246) | Zm} | 0.2091
(0,253) (149,253) (149,265) (0,265) | United States ( incl: Gulf of !exicol | 0.2190
(319,265) (345,265) (345,277) (319,277) | 1,528 | 0.5604
(369,265) (393,265) (393,277) (369,277) | 1,375 | 0.5765
(0,310) (32,310) (32,318) (0,318) | Lanada | 0.2188
(17,335) (65,335) (65,347) (17,347) | Natural g18 | 0.2620
(0,366) (134,366) (134,374) (0,374) | MmicmamOncclamg Canadi|= | 0.0371
(319,377) (345,377) (345,389) (319,389) | 1,070 | 0.8413
(370,378) (392,378) (392,386) (370,386) | LmZY | 0.0731
(0,422) (64,422) (64,430) (0,430) | Worluwnc tclal | 0.1806
(270,422) (292,422) (292,430) (270,430) | 2336 | 0.3287
(319,421) (345,421) (345,433) (319,433) | 3,578 | 0.8863
(0,436) (32,436) (32,444) (0,444) | Uil tula | 0.3352
(320,436) (342,436) (342,444) (320,444) | L5ig | 0.1017
(4,450) (26,450) (26,458) (4,458) | Jatur> | 0.1757
(32,450) (66,450) (66,458) (32,458) | Li8 tuta] | 0.1363
